ecosystem,group,nameProject,forks,diskUsage_KB,stargazers,watchers,issues,commits,pullRequests,updatedAt,numberOfJavaFiles,CountDeclFunction,CountDeclInstanceMethod,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,RelativeMethodPublic,RelativeLineCode,CyclomaticPerMethod,RelativeLineComment,Commit,Contributor,lifetime,lifetime per commit,LifetimePerCont,BC,relativeBC,NBC,relativeNBC,total
Spring,BOTTOM,gs-messaging-jms,87,437,40,26,7,185,15,2018-10-28T15:58:55Z,3,11.0,10.0,11.0,0.0,0.0,0.0,11.0,103.0,24.0,75.0,46.0,19.0,5.0,13.0,11.0,11.0,11.0,1.0,0.73,1.0,0.05,177,12,2026,11.0,168.0,708,40.0,1062,60.0,1770
Spring,BOTTOM,gs-rest-hateoas,53,400,39,22,3,187,13,2018-09-17T15:51:20Z,5,6.0,5.0,6.0,0.0,0.0,0.0,6.0,147.0,30.0,87.0,68.0,12.0,31.0,138.0,6.0,6.0,6.0,1.0,0.59,1.0,0.21,180,11,1991,11.0,181.0,0,0.0,0,0.0,0
Spring,BOTTOM,gs-authenticating-ldap,68,486,38,25,14,196,13,2018-11-16T18:19:06Z,5,7.0,6.0,7.0,0.0,0.0,1.0,6.0,135.0,23.0,93.0,57.0,28.0,20.0,59.0,7.0,7.0,7.0,0.86,0.69,1.0,0.15,194,15,2021,10.0,134.0,970,55.6,776,44.4,1746
Spring,BOTTOM,gs-relational-data-access,83,398,37,25,4,184,14,2018-11-14T13:54:08Z,2,8.0,3.0,4.0,0.0,0.0,0.0,4.0,75.0,18.0,53.0,28.0,22.0,4.0,14.0,8.0,8.0,8.0,1.0,0.71,2.0,0.05,173,9,2026,11.0,225.0,173,50.0,173,50.0,346
Spring,BOTTOM,gs-accessing-mongodb-data-rest,64,270,35,25,4,91,7,2018-10-23T02:41:59Z,4,14.0,13.0,14.0,1.0,0.0,0.0,13.0,198.0,50.0,133.0,75.0,53.0,15.0,16.0,13.0,13.0,13.0,0.93,0.67,0.93,0.08,91,8,1712,18.0,214.0,0,0.0,0,0.0,0
Spring,BOTTOM,gs-accessing-data-mysql,88,296,33,21,12,108,5,2018-11-19T15:19:06Z,4,9.0,8.0,9.0,0.0,0.0,0.0,9.0,106.0,27.0,73.0,48.0,13.0,11.0,72.0,9.0,9.0,9.0,1.0,0.69,1.0,0.1,108,7,1834,16.0,262.0,0,0.0,0,0.0,0
Spring,BOTTOM,gs-actuator-service,75,405,32,25,6,194,13,2018-09-17T15:49:36Z,5,8.0,6.0,8.0,0.0,0.0,0.0,8.0,140.0,32.0,88.0,66.0,15.0,22.0,56.0,8.0,8.0,8.0,1.0,0.63,1.0,0.16,185,13,2006,10.0,154.0,0,0.0,185,100.0,185
Spring,BOTTOM,gs-testing-web,28,158,30,18,2,44,5,2018-11-18T08:28:36Z,9,10.0,9.0,10.0,0.0,0.0,0.0,10.0,205.0,44.0,159.0,125.0,15.0,3.0,13.0,10.0,10.0,10.0,1.0,0.78,1.0,0.01,43,6,801,18.0,133.0,0,0.0,0,0.0,0
Spring,BOTTOM,gs-caching,40,293,25,21,1,97,4,2018-11-14T05:42:15Z,10,24.0,22.0,24.0,2.0,2.0,0.0,20.0,217.0,56.0,159.0,84.0,45.0,2.0,11.0,24.0,24.0,24.0,0.83,0.73,1.0,0.01,95,7,1834,19.0,262.0,380,50.0,380,50.0,760
Spring,BOTTOM,gs-centralized-configuration,55,460,24,24,8,204,3,2018-11-13T18:14:34Z,4,5.0,3.0,5.0,1.0,0.0,0.0,4.0,137.0,25.0,82.0,61.0,11.0,30.0,133.0,5.0,5.0,5.0,0.8,0.6,1.0,0.22,191,10,2026,10.0,202.0,191,50.0,191,50.0,382
Spring,BOTTOM,gs-circuit-breaker,42,340,19,21,6,109,5,2018-11-13T18:14:37Z,6,15.0,13.0,15.0,0.0,0.0,0.0,15.0,205.0,43.0,162.0,119.0,26.0,4.0,12.0,15.0,15.0,15.0,1.0,0.79,1.0,0.02,102,8,1834,17.0,229.0,0,0.0,306,100.0,306
Spring,BOTTOM,gs-client-side-load-balancing,23,384,19,24,4,108,2,2018-11-13T18:14:39Z,5,16.0,14.0,16.0,1.0,1.0,0.0,14.0,256.0,51.0,187.0,134.0,44.0,24.0,63.0,16.0,16.0,16.0,0.88,0.73,1.0,0.09,104,7,1834,17.0,262.0,0,0.0,0,0.0,0
Spring,BOTTOM,gs-handling-form-submission,40,500,17,18,5,145,6,2018-11-16T16:26:48Z,7,9.0,8.0,9.0,0.0,0.0,0.0,9.0,113.0,24.0,74.0,48.0,13.0,15.0,50.0,9.0,9.0,9.0,1.0,0.65,1.0,0.13,143,7,1937,13.0,276.0,143,50.0,143,50.0,286
Spring,BOTTOM,gs-reactive-rest-service,11,343,16,17,5,116,2,2018-11-13T15:08:12Z,5,6.0,4.0,5.0,0.0,0.0,0.0,5.0,107.0,23.0,79.0,54.0,19.0,6.0,29.0,6.0,6.0,6.0,1.0,0.74,1.2,0.06,114,8,1834,16.0,229.0,228,50.0,228,50.0,456
Spring,BOTTOM,gs-managing-transactions,30,394,15,22,2,158,6,2018-09-17T15:50:42Z,3,7.0,5.0,6.0,0.0,0.0,0.0,6.0,107.0,23.0,84.0,34.0,38.0,0.0,0.0,12.0,12.0,12.0,1.0,0.79,2.0,0.0,155,9,1943,12.0,215.0,0,0.0,155,100.0,155
Spring,BOTTOM,gs-accessing-data-neo4j,26,425,13,22,11,197,14,2018-10-26T09:41:14Z,3,12.0,8.0,9.0,2.0,1.0,0.0,6.0,133.0,36.0,89.0,48.0,35.0,8.0,20.0,12.0,12.0,12.0,0.67,0.67,1.33,0.06,190,14,2013,10.0,143.0,760,50.0,760,50.0,1520
Spring,BOTTOM,gs-accessing-neo4j-data-rest,20,319,7,19,6,111,7,2018-09-17T15:49:28Z,4,14.0,13.0,14.0,1.0,0.0,0.0,13.0,207.0,50.0,142.0,84.0,53.0,15.0,15.0,13.0,13.0,13.0,0.93,0.69,0.93,0.07,107,7,1712,16.0,244.0,214,66.7,107,33.3,321
Spring,BOTTOM,gs-accessing-data-gemfire,13,387,5,22,3,193,6,2018-09-17T15:58:33Z,3,14.0,7.0,8.0,5.0,0.0,0.0,3.0,119.0,35.0,84.0,53.0,27.0,0.0,0.0,10.0,10.0,10.0,0.38,0.71,1.25,0.0,189,10,1960,10.0,196.0,1323,53.8,1134,46.2,2457
Spring,BOTTOM,gs-integration,26,424,5,22,4,174,14,2018-11-05T15:11:46Z,2,2.0,1.0,2.0,0.0,0.0,0.0,2.0,68.0,13.0,55.0,38.0,18.0,4.0,10.0,2.0,2.0,2.0,1.0,0.81,1.0,0.06,167,11,1959,11.0,178.0,0,0.0,501,100.0,501
Spring,BOTTOM,quoters,2,114,5,17,0,6,0,2018-05-25T19:28:15Z,6,12.0,8.0,9.0,3.0,1.0,0.0,5.0,243.0,40.0,113.0,59.0,41.0,90.0,346.0,12.0,12.0,12.0,0.56,0.47,1.33,0.37,6,2,1539,256.0,769.0,0,0.0,0,0.0,0
Spring,BOTTOM,gs-caching-gemfire,18,421,4,21,0,175,6,2018-09-17T15:49:52Z,4,14.0,12.0,13.0,1.0,1.0,3.0,8.0,192.0,47.0,129.0,80.0,42.0,18.0,43.0,16.0,16.0,16.0,0.62,0.67,1.23,0.09,173,10,1951,11.0,195.0,1903,78.6,519,21.4,2422
Spring,BOTTOM,gs-accessing-gemfire-data-rest,7,280,3,19,1,99,3,2018-09-17T15:49:22Z,4,11.0,10.0,11.0,1.0,0.0,0.0,10.0,206.0,50.0,141.0,95.0,45.0,15.0,16.0,10.0,10.0,10.0,0.91,0.68,0.91,0.07,98,5,1706,17.0,341.0,490,71.4,196,28.6,686
Spring,BOTTOM,gs-gateway,4,343,3,17,2,105,0,2018-11-13T18:14:45Z,3,13.0,5.0,7.0,0.0,0.0,0.0,7.0,136.0,22.0,102.0,51.0,42.0,14.0,30.0,13.0,13.0,13.0,1.0,0.75,1.86,0.1,104,5,1834,17.0,366.0,0,0.0,0,0.0,0
Spring,BOTTOM,gs-testing-restdocs,10,169,2,19,0,19,2,2018-09-17T15:51:54Z,4,4.0,3.0,4.0,0.0,0.0,0.0,4.0,78.0,18.0,60.0,47.0,5.0,0.0,0.0,4.0,4.0,4.0,1.0,0.77,1.0,0.0,19,3,601,31.0,200.0,0,0.0,0,0.0,0
Spring,BOTTOM,gs-messaging-gcp-pubsub,9,343,1,21,6,105,8,2018-09-17T15:50:45Z,2,8.0,6.0,7.0,1.0,0.0,0.0,6.0,109.0,19.0,76.0,55.0,15.0,14.0,32.0,7.0,7.0,7.0,0.86,0.7,1.0,0.13,105,8,1834,17.0,229.0,210,50.0,210,50.0,420
Spring,BOTTOM,gs-accessing-vault,3,291,0,16,0,99,3,2018-11-13T18:14:31Z,2,8.0,7.0,8.0,0.0,0.0,0.0,8.0,150.0,35.0,95.0,54.0,37.0,20.0,42.0,9.0,9.0,9.0,1.0,0.63,1.13,0.13,98,5,1834,18.0,366.0,0,0.0,98,100.0,98
Spring,BOTTOM,gs-contract-rest,4,364,0,16,4,112,1,2018-11-13T18:14:43Z,15,49.0,45.0,49.0,8.0,0.0,0.0,41.0,449.0,112.0,331.0,194.0,79.0,10.0,36.0,49.0,49.0,49.0,0.84,0.74,1.0,0.02,110,6,1834,16.0,305.0,0,0.0,0,0.0,0
Spring,BOTTOM,gs-spring-boot-for-azure,0,356,0,16,0,100,0,2018-09-17T15:51:50Z,3,3.0,2.0,3.0,0.0,0.0,0.0,3.0,72.0,12.0,45.0,35.0,4.0,15.0,60.0,3.0,3.0,3.0,1.0,0.63,1.0,0.21,100,6,1834,18.0,305.0,0,0.0,0,0.0,0
Spring,BOTTOM,gs-vault-config,3,342,0,16,1,99,3,2018-11-13T18:14:51Z,3,8.0,7.0,8.0,0.0,0.0,0.0,8.0,107.0,22.0,64.0,40.0,14.0,21.0,16.0,8.0,8.0,8.0,1.0,0.6,1.0,0.2,96,6,1834,19.0,305.0,0,0.0,192,100.0,192
